//test set 1
// CTH dec 2005
15 // depts
15,15 // rows,cols
//dept - size - fixed
15,0
10,0
9,0
7,0
9,0
25,0
25,0
15,0
10,0
25,0
10,0
15,0
6,0
19,0
25,1,1,1,5,5
//volume matrix
0,0,0,0,0,0,0,0,0,0,0,0,0,0,240 //dept1
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0 //dept2
0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0 //dept3
0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0 //dept4
0,0,0,0,0,0,0,0,0,0,0,0,0,600,0 //dept5
0,0,0,0,0,0,0,480,0,0,0,0,0,0,0 //dept6
0,0,0,0,0,0,0,480,0,0,0,0,0,0,0 //dept7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,120 //dept8
0,0,0,0,0,0,0,0,0,600,0,0,0,0,0 //dept9
0,0,0,0,0,0,0,0,0,0,0,600,0,0,0 //dept10
0,0,0,0,0,0,480,0,0,0,0,0,0,0,0 //dept11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,600 //dept12
0,0,0,0,0,0,480,0,0,0,0,0,0,0,0 //dept13
0,0,0,0,0,0,0,0,0,0,0,600,0,0,0 //dept14
0,10,50,0,25,40,0,0,25,0,40,0,20,0,0 //dept15
//cost matrix
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept8
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept10
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept13
1,1,1,1,1,1,1,1,1,1,1,1,1,1,.5 //dept14
.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5,.5 //dept15
